pair1,pair2,train_sharpe,train_drawdown,train_returns,hedgeratio,Cointegration,Mean Reversion,Half-Life,Cross,test_sharpe,test_drawdown,test_returns
GOKEX,PETRONET,0.5715730385895949,0.0,18.521347116654354,0.0266114749090913,0.02701124991718831,0.48955849949906255,154.6688672595806,17,-0.8136241438295458,194.03306105776406,-inf
JINDALPOLY,RCOM,0.680418683325231,0.4311697726577051,24.955108425291915,-0.2092891812426444,0.3778366751036477,0.5763710633363126,-3108.3292919823766,6,0.17462594495728054,0.5389671636525257,2.373562871805217
RADICO,TATAELXSI,0.6106680591335114,0.6194302814445714,20.403878770365104,0.18814314255978154,0.7026915972072281,0.47264683354546305,511.3864033184731,3,2.3858597930165324,0.0,7.4690958398563945
CENTRALBK,MRPL,0.6548482500799752,0.6934653909122163,15.441331284408449,0.6532843240625463,0.3882619614896055,0.4819572874107031,165.3585915576505,10,0.010359555982324206,3.3136507938946207,1.1331432280821923
JINDALPOLY,MMTC,0.6392711988128402,0.9320018349102939,23.637808779416233,0.008208558002837851,0.2971952126705617,0.562966366822074,304.73829584565453,12,0.1446755414209327,3.2515832408838876,1.7673721164559477
DCBBANK,JSWENERGY,0.5749820998449097,1.4613367725883357,20.43485402106269,0.5206259891603282,0.6992232566197166,0.4959654783840664,90.11403853203188,33,-0.027534940219490222,15.086753243651335,-2.9384385884306186
CENTRALBK,ENGINERSIN,0.6736748002588957,1.670844470653361,9.893232560631333,0.7560482033168534,0.5031691124183821,0.45651709226437315,175.06390041651952,16,-6.602727864652114,0.2839917887007774,0.11206383391021654
DCBBANK,SOUTHBANK,0.5612724193722441,1.8784158596054459,21.637920198389,-0.004854121439048372,0.7775651931504765,0.516242404980794,4966.011721032278,22,-0.7268082702844638,2.950813190918539,0.4989163494586629
GOKEX,GOCLCORP,0.5238934648712495,1.9633308639868705,14.717432585523364,0.057681737781873195,0.005542312459059146,0.4868412004801285,62.434317478950305,43,-0.9397381901265092,177.58126026082368,-inf
BAJAJ-AUTO,ITC,0.7972110856508644,12.73311697187247,19.21807222180625,8.347098510996743,0.3522360178387264,0.447694392028969,183.9924810142242,21,-0.8489510798814842,13.000857082991958,-3.4100916512501307
BAJAJHLDNG,MAHSCOOTER,0.6238267396914245,14.1016905299531,18.37744172032254,0.7120885434566552,0.0034654261907469588,0.364270384985006,80.94297760170144,22,-0.3883153015838922,17.61468189688793,-6.627300481925981
GHCL,SSWL,0.769664668934435,16.75100876013626,13.447411734128318,2.4860886337899353,0.11718468462696402,0.4392862429423878,337.44381781330395,10,1.4121667720950906,0.5998186590515352,7.281923625243659
DCBBANK,ENGINERSIN,0.5185386770346275,2.155102334306979,18.425329998840475,0.4730059188444453,0.5505908796994909,0.5019990234477907,178.8773651548323,15,-0.5180560996954617,0.23153979922304932,0.5510895415841387
BAJAJELEC,RADICO,0.7588442412587544,2.176279804202212,23.958453014045034,0.943989513083281,0.017969690149430662,0.4778531515790516,198.70505086203042,17,0.8062080211506262,3.5840804369781294,6.471402286631581
HDFCBANK,KOTAKBANK,0.645838399293318,2.3241092206451666,9.07175303233003,0.747774216956445,0.0008862779964160797,0.37494305487867363,81.99889027727757,19,-0.30501953852257074,5.9455982458044945,0.5962062717755613
BAJAJELEC,GSPL,0.9367724265368544,3.0489894995063826,21.86456876122767,1.8355210172052734,0.2210291681295688,0.4158980012597209,311.59723203749957,9,2.5905645934844523,0.0,7.064013751975725
BALRAMCHIN,IIFL,0.5144390744698611,3.3268362550761434,16.772058210767504,0.2223828153038845,0.8221439970431788,0.5079484045275018,289.8524226212668,13,0.45466306355794334,0.39858337281489137,3.941377300749702
GESHIP,SOMANYCERA,1.1106203655172926,3.5970470682385987,19.331441187102712,0.17873027620359325,0.01921232818836708,0.40943071572603373,131.85331330124225,12,-0.712077855245089,38.421414075002644,-11.632314660597089
INDIANB,MRPL,0.5212552237692838,30.183228582681917,19.368574972398424,2.692678918283798,0.056110034345206866,0.4707652985934777,188.85317433409762,22,-1.0068862494486657,17.96275521150248,-3.525178203954591
ADANIPORTS,ASHOKLEY,0.5948255799187252,30.38403953264432,13.471456398081635,2.2631378425898214,0.3996528661526429,0.46815268674482763,442.67817513470186,7,5.59660094564486,8.172524130955358,7.430519169016438
BALRAMCHIN,JKTYRE,0.6734272210614854,4.131376649522794,22.98610502620533,0.44647972276287845,0.8090044755055497,0.5328907467506673,367.8876964036701,5,-0.3628570491341939,11.483019228589363,-4.470920355670646
HGS,MANAPPURAM,0.5234741217275031,4.3002707686653086,23.635307069075047,1.235791801604217,0.1436337551578642,0.4689496598838818,649.116111299082,7,0.24985167855033502,1.4494738332207664,0.572311052900096
CCL,SSWL,0.5794229826919614,45.87469609599559,13.44280275596898,2.866100953817096,0.652069435777722,0.46446249273368556,440.5626041521828,10,5.769125766655069,3.237064132911692,11.163192433326707
INDUSINDBK,SHRIRAMFIN,0.580790057019977,6.7565745132867665,23.281098650977555,1.864641414963834,0.007292142127124045,0.429001837239807,44.42882879278611,41,3.684300436322233,0.558744225829321,8.583097681207535
CENTRALBK,NCC,0.574035000309079,7.874825335160966,12.044250290668964,0.33869829404245755,0.6469216086139449,0.5423702742873135,353.29152304685687,5,,0.0,0.0
